#  gamma_0, gamma_1, gamma_2, gamma_3, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, sigma_1, sigma_2, sigma_3, 
# 
-5.057200000000000273e+01 8.761419999999999320e+00 3.812760000000000218e+03 3.816289999999999964e+03 9.991459999999999297e+01 5.163750000000000284e+01 3.288199999999999790e+00 6.104709999999999859e-01 3.034130000000000216e+00 9.971630000000000393e+01 2.458150000000000091e+03 5.665510000000000268e+00 4.554139999999999855e-01 4.655649999999999622e+00 2.258210000000000051e+00 8.759259999999999380e+00 1.680890000000000128e+01 1.010960000000000036e+01
-5.617960000000000065e+01 3.721540000000000070e+00 3.811510000000000218e+03 3.817599999999999909e+03 9.975509999999999877e+01 5.164869999999999806e+01 5.307100000000000151e+00 6.068919999999999870e-01 3.058170000000000055e+00 9.983599999999999852e+01 2.435699999999999818e+03 4.365569999999999951e+00 4.018479999999999830e-01 4.775900000000000034e+00 7.537910000000000110e+00 9.274319999999999453e+00 9.167590000000000572e+00 1.427410000000000068e+01
-5.019109999999999872e+01 7.053099999999999703e+00 3.809710000000000036e+03 3.816380000000000109e+03 9.996639999999999304e+01 2.488389999999999873e+03 1.819099999999999884e-01 4.518940000000000179e-01 4.671429999999999971e+00 9.965689999999999316e+01 5.163770000000000238e+01 4.215760000000000396e+00 6.076639999999999819e-01 3.036189999999999944e+00 1.897270000000000012e+00 1.014439999999999920e+01 1.508699999999999974e+01 8.981849999999999667e+00
-5.117069999999999652e+01 5.097559999999999647e+00 3.815420000000000073e+03 3.823309999999999945e+03 9.940999999999999659e+01 5.164000000000000057e+01 5.087130000000000152e+00 6.088550000000000351e-01 3.069119999999999848e+00 9.931910000000000593e+01 2.477940000000000055e+03 5.470530000000000115e+00 4.480169999999999986e-01 4.712119999999999642e+00 3.097080000000000055e+00 9.357540000000000191e+00 1.183370000000000033e+01 1.048450000000000060e+01
-5.190570000000000306e+01 5.768410000000000259e+00 3.810570000000000164e+03 3.821420000000000073e+03 9.990869999999999607e+01 5.163779999999999859e+01 5.017830000000000013e+00 6.138869999999999605e-01 3.061110000000000220e+00 9.994280000000000541e+01 2.482949999999999818e+03 5.437660000000000160e+00 4.481870000000000021e-01 4.742709999999999759e+00 4.652260000000000062e+00 1.051459999999999972e+01 1.789209999999999923e+01 7.599099999999999966e+00
-5.033749999999999858e+01 9.533540000000000347e+00 3.812719999999999800e+03 3.820480000000000018e+03 9.986599999999999966e+01 5.164900000000000091e+01 1.809070000000000122e-01 5.886550000000000393e-01 3.063019999999999854e+00 9.859560000000000457e+01 2.462210000000000036e+03 3.430959999999999788e+00 4.453489999999999949e-01 4.712620000000000253e+00 4.053149999999999586e+00 1.138599999999999923e+01 1.538949999999999996e+01 9.510680000000000689e+00
-5.073740000000000094e+01 7.368730000000000224e+00 3.809889999999999873e+03 3.810760000000000218e+03 9.981570000000000675e+01 5.164370000000000260e+01 1.045590000000000019e+00 5.987289999999999557e-01 3.030759999999999899e+00 9.921989999999999554e+01 2.416679999999999836e+03 4.869880000000000209e+00 4.393690000000000095e-01 4.680749999999999744e+00 2.685909999999999798e+00 9.298610000000000042e+00 1.074600000000000044e+01 1.079729999999999990e+01
-5.036290000000000333e+01 9.202949999999999520e+00 3.816260000000000218e+03 3.819039999999999964e+03 9.984560000000000457e+01 5.163859999999999673e+01 3.187170000000000059e+00 6.056540000000000257e-01 3.034409999999999830e+00 9.899750000000000227e+01 2.453329999999999927e+03 5.885229999999999961e+00 4.494130000000000069e-01 4.703769999999999563e+00 3.690040000000000209e+00 1.032440000000000069e+01 1.763410000000000011e+01 1.246030000000000015e+01
-5.363700000000000045e+01 3.881979999999999986e+00 3.811230000000000018e+03 3.816150000000000091e+03 9.952899999999999636e+01 5.163949999999999818e+01 2.092379999999999907e+00 6.044920000000000293e-01 3.038710000000000022e+00 9.964339999999999975e+01 2.430400000000000091e+03 3.100699999999999790e+00 4.107109999999999927e-01 4.793370000000000353e+00 4.033839999999999648e+00 8.736700000000000799e+00 8.393000000000000682e+00 1.595439999999999969e+01
-5.332269999999999754e+01 5.334310000000000329e+00 3.820550000000000182e+03 3.821880000000000109e+03 9.987170000000000414e+01 5.164900000000000091e+01 2.007440000000000058e-01 6.137949999999999795e-01 3.063460000000000072e+00 9.956399999999999295e+01 2.462199999999999818e+03 3.393349999999999866e+00 4.336990000000000012e-01 4.746159999999999712e+00 3.912439999999999807e-01 9.475619999999999266e+00 1.791499999999999915e+01 1.227849999999999930e+01
-5.450480000000000302e+01 5.088460000000000427e+00 3.814769999999999982e+03 3.815650000000000091e+03 9.986530000000000484e+01 2.441159999999999854e+03 5.963320000000000398e+00 4.157020000000000159e-01 4.719739999999999824e+00 9.999890000000000612e+01 5.164020000000000010e+01 3.742390000000000300e-02 6.153199999999999781e-01 3.056869999999999976e+00 4.073319999999999830e+00 1.040370000000000061e+01 1.055349999999999966e+01 1.087809999999999988e+01
-5.285399999999999920e+01 6.884459999999999802e+00 3.815750000000000000e+03 3.818340000000000146e+03 9.943630000000000280e+01 5.164390000000000214e+01 2.231440000000000090e+00 5.992589999999999861e-01 3.072459999999999969e+00 9.999850000000000705e+01 2.435119999999999891e+03 2.856959999999999944e+00 4.206779999999999964e-01 4.781810000000000116e+00 6.177410000000000068e+00 1.232049999999999912e+01 9.097780000000000200e+00 1.282199999999999918e+01
-5.031850000000000023e+01 9.764170000000000016e+00 3.816309999999999945e+03 3.820750000000000000e+03 9.975499999999999545e+01 5.163730000000000331e+01 1.707410000000000094e+00 6.134730000000000461e-01 3.036859999999999893e+00 9.966190000000000282e+01 2.450010000000000218e+03 3.674350000000000005e+00 4.357230000000000270e-01 4.669990000000000308e+00 2.927340000000000150e-02 1.018880000000000052e+01 1.997640000000000171e+01 1.265820000000000078e+01
-5.367629999999999768e+01 7.612190000000000012e+00 3.815010000000000218e+03 3.817920000000000073e+03 9.994360000000000355e+01 5.164540000000000219e+01 4.980959999999999610e+00 6.036059999999999759e-01 3.043969999999999843e+00 9.918129999999999313e+01 2.400130000000000109e+03 4.839109999999999800e+00 4.276050000000000129e-01 4.712200000000000166e+00 6.055080000000000240e+00 8.341450000000000031e+00 1.603450000000000131e+01 1.509680000000000000e+01
-5.262870000000000203e+01 3.952620000000000022e+00 3.813570000000000164e+03 3.817289999999999964e+03 9.998170000000000357e+01 2.448710000000000036e+03 3.156820000000000181e-01 4.402739999999999987e-01 4.722430000000000128e+00 9.999269999999999925e+01 5.164309999999999690e+01 4.215550000000000352e+00 6.152849999999999708e-01 3.014819999999999833e+00 2.149169999999999803e+00 9.047010000000000218e+00 1.624050000000000082e+01 1.153539999999999921e+01
-5.057209999999999894e+01 6.153819999999999624e+00 3.813690000000000055e+03 3.817380000000000109e+03 9.990529999999999688e+01 2.456039999999999964e+03 2.515149999999999886e-01 4.167480000000000073e-01 4.716779999999999973e+00 9.962160000000000082e+01 5.163660000000000139e+01 4.274790000000000312e+00 6.052130000000000010e-01 3.044109999999999872e+00 3.763259999999999827e+00 9.291399999999999437e+00 1.349510000000000076e+01 1.057670000000000066e+01
-5.505830000000000268e+01 5.932310000000000194e+00 3.812219999999999800e+03 3.822309999999999945e+03 9.982330000000000325e+01 2.478519999999999982e+03 6.028000000000000025e-01 4.230260000000000131e-01 4.752979999999999983e+00 9.999099999999999966e+01 5.163900000000000290e+01 5.740910000000000402e+00 6.164699999999999624e-01 3.089949999999999974e+00 6.227059999999999818e+00 1.187459999999999916e+01 1.052839999999999954e+01 1.347749999999999915e+01
-5.065999999999999659e+01 8.911250000000000782e+00 3.810659999999999854e+03 3.818380000000000109e+03 9.966370000000000573e+01 2.460960000000000036e+03 2.325770000000000060e-01 4.423500000000000210e-01 4.705840000000000245e+00 9.990269999999999584e+01 5.164200000000000301e+01 4.220760000000000289e+00 6.038729999999999931e-01 3.030050000000000132e+00 5.291409999999999947e+00 1.088490000000000002e+01 1.336570000000000036e+01 1.220199999999999996e+01
-5.121940000000000026e+01 7.301149999999999807e+00 3.815969999999999800e+03 3.818730000000000018e+03 9.987439999999999429e+01 5.163859999999999673e+01 3.218989999999999796e+00 6.067470000000000363e-01 3.037580000000000169e+00 9.877290000000000703e+01 2.453309999999999945e+03 5.822860000000000369e+00 4.379790000000000072e-01 4.747209999999999930e+00 6.394519999999999982e+00 9.891750000000000043e+00 1.502410000000000068e+01 1.134989999999999988e+01
-5.461950000000000216e+01 6.170689999999999564e+00 3.814139999999999873e+03 3.818320000000000164e+03 9.976640000000000441e+01 5.164059999999999917e+01 2.101649999999999796e+00 6.000469999999999970e-01 3.042339999999999822e+00 9.936570000000000391e+01 2.437570000000000164e+03 2.917689999999999895e+00 4.152509999999999812e-01 4.774469999999999992e+00 5.327770000000000117e+00 9.627090000000000813e+00 9.206649999999999778e+00 1.332750000000000057e+01
-5.109049999999999869e+01 8.802239999999999398e+00 3.809289999999999964e+03 3.819570000000000164e+03 9.953040000000000020e+01 5.164379999999999882e+01 1.726420000000000066e+00 6.150240000000000151e-01 3.027880000000000127e+00 9.972629999999999484e+01 2.479760000000000218e+03 3.748089999999999922e+00 4.433520000000000238e-01 4.704170000000000407e+00 1.362849999999999895e-01 1.085169999999999924e+01 1.561439999999999984e+01 1.094480000000000075e+01
-5.182840000000000202e+01 6.428709999999999702e+00 3.812349999999999909e+03 3.820619999999999891e+03 9.938909999999999911e+01 5.164170000000000016e+01 2.236969999999999903e+00 6.134760000000000213e-01 3.031909999999999883e+00 9.987330000000000041e+01 2.459500000000000000e+03 2.827220000000000066e+00 4.400629999999999820e-01 4.677839999999999776e+00 4.414379999999999693e-02 9.488340000000000884e+00 1.442970000000000041e+01 1.241879999999999917e+01
-5.262870000000000203e+01 3.952620000000000022e+00 3.813570000000000164e+03 3.817289999999999964e+03 9.998170000000000357e+01 2.448710000000000036e+03 3.156820000000000181e-01 4.402739999999999987e-01 4.722430000000000128e+00 9.999269999999999925e+01 5.164309999999999690e+01 4.215550000000000352e+00 6.152849999999999708e-01 3.014819999999999833e+00 2.149169999999999803e+00 9.047010000000000218e+00 1.624050000000000082e+01 1.153539999999999921e+01
-5.235060000000000002e+01 7.640740000000000087e+00 3.815559999999999945e+03 3.818900000000000091e+03 9.999399999999999977e+01 5.164059999999999917e+01 2.117360000000000131e+00 6.049590000000000245e-01 3.055219999999999825e+00 9.968340000000000600e+01 2.415960000000000036e+03 2.934349999999999792e+00 4.296860000000000124e-01 4.721680000000000099e+00 1.673859999999999904e+00 9.194800000000000750e+00 1.409440000000000026e+01 1.337449999999999939e+01
-4.809660000000000224e+01 8.257070000000000576e+00 3.810250000000000000e+03 3.817719999999999800e+03 9.981229999999999336e+01 5.164000000000000057e+01 5.105319999999999858e+00 6.092899999999999983e-01 3.018479999999999830e+00 9.905029999999999291e+01 2.477929999999999836e+03 5.477579999999999671e+00 4.532010000000000205e-01 4.656889999999999752e+00 3.553549999999999986e+00 8.928679999999999950e+00 1.464220000000000077e+01 8.057669999999999888e+00
-5.420550000000000068e+01 5.728390000000000093e+00 3.813400000000000091e+03 3.819039999999999964e+03 9.958169999999999789e+01 5.164170000000000016e+01 2.209280000000000133e+00 6.033239999999999714e-01 3.030530000000000168e+00 9.940309999999999491e+01 2.442360000000000127e+03 2.766300000000000203e+00 4.176070000000000060e-01 4.747160000000000046e+00 5.241889999999999716e+00 1.064659999999999940e+01 1.294510000000000005e+01 1.064809999999999945e+01
-5.155160000000000053e+01 5.665949999999999598e+00 3.813599999999999909e+03 3.820159999999999854e+03 9.991020000000000323e+01 5.163889999999999958e+01 5.066679999999999851e+00 6.101750000000000229e-01 3.019750000000000156e+00 9.999339999999999407e+01 2.463000000000000000e+03 5.398699999999999832e+00 4.319319999999999826e-01 4.744720000000000049e+00 3.443140000000000089e+00 1.028700000000000081e+01 1.295800000000000018e+01 1.355860000000000021e+01
