#  gamma_0, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, 
# 
3.896560000000000201e+01 9.979170000000000584e+01 5.164860000000000184e+01 4.486889999999999823e+00 5.827769999999999895e-01 3.094590000000000174e+00 9.061230000000000473e+01 1.260539999999999964e+03 4.401620000000000310e+00 2.983069999999999888e-01 3.830610000000000070e+00 9.882250000000000867e+00
2.648369999999999891e+01 9.773510000000000275e+01 5.161030000000000229e+01 3.079569999999999919e+00 5.921779999999999822e-01 3.021059999999999857e+00 9.630349999999999966e+01 1.498819999999999936e+03 6.298880000000000035e-01 2.754960000000000186e-01 4.143749999999999822e+00 9.140180000000000859e+00
2.919549999999999912e+01 9.878239999999999554e+01 5.161959999999999837e+01 6.230959999999999610e+00 5.937759999999999705e-01 2.983859999999999957e+00 9.333369999999999322e+01 1.597890000000000100e+03 3.683429999999999982e+00 3.346509999999999763e-01 4.213879999999999626e+00 1.044350000000000023e+01
7.585670000000000357e+00 9.966240000000000521e+01 5.161769999999999925e+01 1.627590000000000092e+00 6.042999999999999483e-01 3.019719999999999960e+00 9.888859999999999673e+01 3.352010000000000218e+03 3.123009999999999953e-01 5.907980000000000453e-01 4.773419999999999774e+00 9.207819999999999894e+00
2.634560000000000102e+01 9.999930000000000518e+01 5.160770000000000124e+01 2.333030000000000104e-01 6.104939999999999811e-01 3.029720000000000191e+00 9.215210000000000434e+01 1.739079999999999927e+03 1.406689999999999996e+00 3.693580000000000196e-01 4.364550000000000374e+00 1.049329999999999963e+01
4.131450000000000244e+01 9.964239999999999498e+01 5.159660000000000224e+01 5.298729999999999940e+00 5.959179999999999477e-01 3.053749999999999964e+00 9.152469999999999573e+01 1.285670000000000073e+03 4.574499999999999567e+00 3.257059999999999955e-01 3.834280000000000133e+00 1.120010000000000083e+01
1.096690000000000076e+01 9.821070000000000277e+01 5.161079999999999757e+01 5.803180000000000227e+00 6.088219999999999743e-01 3.079320000000000057e+00 9.756019999999999470e+01 2.264789999999999964e+03 4.277400000000000091e+00 4.464730000000000087e-01 4.717789999999999928e+00 1.009009999999999962e+01
2.610979999999999990e+01 9.837300000000000466e+01 5.162550000000000239e+01 3.132080000000000197e+00 6.262370000000000436e-01 3.029360000000000053e+00 9.289470000000000027e+01 1.597740000000000009e+03 2.705729999999999968e+00 3.175839999999999774e-01 4.279029999999999667e+00 9.416990000000000194e+00
1.436749999999999972e+01 9.962430000000000518e+01 5.159700000000000131e+01 1.181689999999999907e+00 6.015829999999999789e-01 3.010099999999999998e+00 9.717820000000000391e+01 2.398309999999999945e+03 2.383009999999999989e-02 4.483389999999999875e-01 4.590180000000000149e+00 1.004809999999999981e+01
2.030539999999999878e+01 9.857170000000000698e+01 5.165039999999999765e+01 2.489189999999999792e+00 6.026719999999999855e-01 3.011559999999999793e+00 9.513750000000000284e+01 1.823750000000000000e+03 4.401139999999999830e+00 3.612270000000000203e-01 4.568979999999999819e+00 9.057050000000000267e+00
2.563960000000000150e+01 9.987900000000000489e+01 5.166360000000000241e+01 3.293509999999999938e+00 5.800469999999999793e-01 3.058570000000000011e+00 9.952609999999999957e+01 1.494450000000000045e+03 1.939349999999999907e+00 2.584110000000000018e-01 4.163780000000000037e+00 1.000709999999999944e+01
2.049129999999999896e+01 9.957129999999999370e+01 5.165950000000000131e+01 4.782519999999999882e+00 6.031339999999999479e-01 3.057409999999999961e+00 9.100780000000000314e+01 2.230840000000000146e+03 1.165280000000000094e+00 4.777759999999999785e-01 4.653330000000000410e+00 1.167360000000000042e+01
3.247769999999999868e+01 9.998510000000000275e+01 5.162369999999999948e+01 4.870490000000000208e+00 6.088980000000000503e-01 3.059629999999999850e+00 9.075509999999999877e+01 1.525150000000000091e+03 2.184180000000000010e+00 3.613959999999999950e-01 4.174190000000000289e+00 9.139039999999999608e+00
6.642970000000000041e+00 9.951099999999999568e+01 5.161840000000000117e+01 5.631059999999999732e+00 6.113659999999999650e-01 2.976150000000000073e+00 9.965730000000000643e+01 2.741630000000000109e+03 6.545520000000000227e-01 4.886599999999999833e-01 4.680109999999999992e+00 1.021499999999999986e+01
2.870799999999999841e+01 9.941179999999999950e+01 5.166329999999999956e+01 1.613250000000000073e+00 5.989510000000000112e-01 3.020329999999999959e+00 9.294689999999999941e+01 1.843759999999999991e+03 2.020080000000000098e+00 4.655940000000000079e-01 4.445079999999999920e+00 9.771399999999999864e+00
2.613680000000000092e+01 9.927970000000000539e+01 5.163230000000000075e+01 4.430220000000000269e+00 6.166629999999999612e-01 2.987379999999999924e+00 9.244979999999999620e+01 1.732079999999999927e+03 3.294309999999999850e+00 3.525240000000000040e-01 4.306470000000000020e+00 8.874629999999999797e+00
2.920019999999999882e+01 9.876900000000000546e+01 5.163349999999999795e+01 5.070479999999999876e+00 6.042610000000000481e-01 3.020840000000000192e+00 9.665439999999999543e+01 1.414319999999999936e+03 1.978609999999999980e+00 2.620569999999999844e-01 3.998619999999999841e+00 1.013039999999999985e+01
2.700760000000000005e+01 9.946850000000000591e+01 5.162039999999999651e+01 4.570030000000000037e+00 5.927470000000000239e-01 3.063169999999999948e+00 9.707569999999999766e+01 1.620440000000000055e+03 5.968650000000000233e+00 3.550139999999999962e-01 4.240719999999999601e+00 1.004819999999999958e+01
3.073379999999999868e+01 9.895170000000000243e+01 5.162879999999999825e+01 2.781390000000000029e+00 5.926420000000000021e-01 3.066590000000000149e+00 9.288639999999999475e+01 1.439710000000000036e+03 5.605889999999999596e+00 3.003299999999999859e-01 4.072510000000000296e+00 1.058210000000000051e+01
4.187400000000000233e+01 9.935049999999999670e+01 5.162939999999999685e+01 2.728860000000000174e-01 6.162440000000000140e-01 3.065679999999999961e+00 8.505190000000000339e+01 1.335039999999999964e+03 1.725889999999999924e+00 3.866620000000000057e-01 3.981580000000000119e+00 1.292789999999999928e+01
3.460099999999999909e+01 9.961549999999999727e+01 5.161959999999999837e+01 6.270170000000000243e+00 5.967270000000000074e-01 2.976960000000000051e+00 9.200579999999999359e+01 1.473170000000000073e+03 3.707730000000000192e+00 3.814270000000000160e-01 4.112890000000000157e+00 9.307809999999999917e+00
4.317240000000000322e+01 9.858700000000000330e+01 5.160730000000000217e+01 4.569329999999999892e+00 6.006669999999999510e-01 3.044970000000000176e+00 8.853400000000000603e+01 1.306220000000000027e+03 4.676759999999999806e+00 3.718389999999999751e-01 3.891360000000000152e+00 9.004120000000000346e+00
2.836090000000000089e+01 9.980169999999999675e+01 5.165229999999999677e+01 7.221440000000000081e-01 5.876320000000000432e-01 3.036220000000000141e+00 9.405570000000000164e+01 1.598329999999999927e+03 6.253079999999999750e+00 3.480420000000000180e-01 4.280910000000000437e+00 9.970340000000000202e+00
1.402660000000000018e+01 9.991649999999999920e+01 5.163539999999999708e+01 3.567590000000000039e+00 6.116829999999999767e-01 3.001329999999999831e+00 9.955060000000000286e+01 1.904759999999999991e+03 5.874469999999999636e+00 3.494789999999999841e-01 4.501100000000000101e+00 8.707739999999999370e+00
4.057560000000000144e+01 9.999330000000000496e+01 5.163700000000000045e+01 1.425150000000000028e-01 6.021100000000000341e-01 3.087790000000000035e+00 9.643899999999999295e+01 1.206190000000000055e+03 4.397720000000000101e-02 3.052610000000000046e-01 3.640820000000000167e+00 1.147530000000000072e+01
3.036370000000000147e+01 9.983750000000000568e+01 5.162169999999999703e+01 6.186189999999999856e+00 5.986059999999999715e-01 2.980399999999999938e+00 9.122660000000000480e+01 1.574420000000000073e+03 4.270270000000000010e+00 3.488220000000000209e-01 4.320199999999999818e+00 9.886919999999999931e+00
1.849289999999999878e+01 9.987709999999999866e+01 5.161760000000000304e+01 1.201219999999999954e+00 6.158500000000000085e-01 3.028680000000000039e+00 9.410009999999999764e+01 2.091699999999999818e+03 2.708900000000000197e-01 4.380140000000000144e-01 4.519940000000000069e+00 9.582470000000000709e+00
2.388299999999999912e+01 9.923799999999999955e+01 5.165659999999999741e+01 2.191869999999999929e-01 6.153939999999999966e-01 3.046419999999999906e+00 8.951479999999999393e+01 1.713230000000000018e+03 5.793549999999999756e+00 3.595670000000000255e-01 4.496050000000000324e+00 9.020920000000000272e+00
3.127329999999999899e+01 9.967430000000000234e+01 5.162870000000000203e+01 2.179499999999999993e+00 6.056890000000000329e-01 3.085910000000000153e+00 8.824739999999999895e+01 1.612490000000000009e+03 2.918569999999999887e+00 4.089349999999999929e-01 4.331620000000000026e+00 1.014780000000000015e+01
1.537640000000000029e+01 9.990120000000000289e+01 5.159709999999999752e+01 1.573690000000000033e+00 6.315509999999999735e-01 2.994650000000000034e+00 9.111289999999999623e+01 2.555039999999999964e+03 4.624620000000000175e+00 5.047080000000000455e-01 4.764560000000000350e+00 1.230620000000000047e+01
-6.069200000000000372e+00 9.917289999999999850e+01 5.164999999999999858e+01 6.079679999999999751e+00 5.971140000000000336e-01 3.030069999999999819e+00 9.606109999999999616e+01 5.464260000000000218e+03 6.189359999999999751e+00 6.909490000000000354e-01 5.006090000000000373e+00 1.048900000000000077e+01
2.175819999999999865e+01 9.904819999999999425e+01 5.162800000000000011e+01 4.455879999999999619e+00 6.201630000000000198e-01 3.044179999999999886e+00 9.320189999999999486e+01 1.885019999999999982e+03 2.730090000000000128e+00 3.893699999999999939e-01 4.533649999999999736e+00 8.789970000000000283e+00
2.057189999999999941e+01 9.873760000000000048e+01 5.163309999999999889e+01 2.591489999999999849e+00 6.132290000000000241e-01 3.023350000000000204e+00 9.410989999999999611e+01 2.075610000000000127e+03 5.948800000000000310e+00 4.683640000000000025e-01 4.582729999999999748e+00 9.651289999999999480e+00
1.604510000000000147e+01 9.958270000000000266e+01 5.162980000000000302e+01 2.701560000000000183e+00 6.078759999999999719e-01 3.028010000000000090e+00 9.458809999999999718e+01 2.086269999999999982e+03 6.207620000000000360e+00 4.122419999999999973e-01 4.615400000000000169e+00 1.038439999999999941e+01
2.574589999999999890e+01 9.992600000000000193e+01 5.165910000000000224e+01 2.404380000000000184e+00 6.061520000000000241e-01 3.005180000000000184e+00 9.195749999999999602e+01 1.629799999999999955e+03 3.905170000000000030e+00 3.607310000000000239e-01 4.351460000000000328e+00 9.958560000000000301e+00
1.183329999999999949e+01 9.848170000000000357e+01 5.164320000000000022e+01 4.451010000000000133e+00 5.856200000000000294e-01 3.050600000000000200e+00 9.920879999999999654e+01 2.141539999999999964e+03 2.107969999999999899e+00 4.144920000000000271e-01 4.696270000000000167e+00 9.021140000000000825e+00
2.956830000000000069e+01 9.898659999999999570e+01 5.161849999999999739e+01 6.258639999999999759e+00 6.034270000000000467e-01 2.974429999999999907e+00 9.516740000000000066e+01 1.471410000000000082e+03 3.857920000000000016e+00 2.804329999999999878e-01 4.086599999999999788e+00 1.004260000000000019e+01
2.885950000000000060e+01 9.966049999999999898e+01 5.160370000000000346e+01 2.363100000000000200e+00 6.131069999999999576e-01 3.016550000000000065e+00 9.118259999999999366e+01 1.717710000000000036e+03 4.213589999999999947e+00 3.815000000000000058e-01 4.352100000000000080e+00 1.091189999999999927e+01
3.237299999999999756e+01 9.997469999999999857e+01 5.162160000000000082e+01 5.408909999999999663e+00 5.926399999999999446e-01 3.080620000000000136e+00 9.482110000000000127e+01 1.365930000000000064e+03 5.456739999999999924e+00 2.735219999999999874e-01 3.920490000000000030e+00 1.044740000000000002e+01
4.406210000000000093e+01 9.962940000000000396e+01 5.159660000000000224e+01 5.267859999999999765e+00 6.217540000000000289e-01 3.027629999999999821e+00 8.584860000000000468e+01 1.278289999999999964e+03 4.415009999999999657e+00 3.722239999999999993e-01 3.919340000000000046e+00 1.018030000000000079e+01
2.843319999999999936e+01 9.927460000000000662e+01 5.163920000000000243e+01 4.596149999999999958e-01 6.019729999999999803e-01 3.005689999999999973e+00 8.834839999999999804e+01 1.634390000000000100e+03 5.308919999999999639e+00 3.501739999999999853e-01 4.402129999999999654e+00 1.011909999999999954e+01
3.296909999999999741e+01 9.928279999999999461e+01 5.162989999999999924e+01 2.953199999999999825e+00 5.885770000000000168e-01 3.019769999999999843e+00 8.956040000000000134e+01 1.670059999999999945e+03 5.744570000000000398e+00 4.267839999999999967e-01 4.322040000000000326e+00 9.353360000000000340e+00
1.874119999999999919e+01 9.852939999999999543e+01 5.163949999999999818e+01 2.273169999999999913e+00 6.035690000000000222e-01 3.032890000000000086e+00 9.767170000000000130e+01 1.839950000000000045e+03 3.586240000000000094e+00 3.679239999999999733e-01 4.403340000000000032e+00 1.045940000000000047e+01
1.589400000000000013e+01 9.962999999999999545e+01 5.164220000000000255e+01 4.950109999999999566e+00 6.111830000000000318e-01 3.056000000000000050e+00 9.351260000000000616e+01 2.107050000000000182e+03 3.678529999999999855e+00 4.169370000000000021e-01 4.618149999999999977e+00 1.000869999999999926e+01
2.951989999999999981e+01 9.847509999999999764e+01 5.164670000000000272e+01 6.021910000000000096e+00 6.007160000000000277e-01 3.095380000000000020e+00 9.563569999999999993e+01 1.542029999999999973e+03 6.007559999999999789e+00 3.116700000000000026e-01 4.297830000000000261e+00 1.068570000000000064e+01
2.834369999999999834e+01 9.725870000000000459e+01 5.159759999999999991e+01 4.827600000000000335e+00 6.050140000000000517e-01 3.046879999999999811e+00 9.071599999999999397e+01 1.802130000000000109e+03 3.602030000000000065e+00 4.490100000000000202e-01 4.416619999999999990e+00 1.262839999999999918e+01
3.633200000000000074e+01 9.885070000000000334e+01 5.160990000000000322e+01 5.698109999999999564e-01 5.948719999999999564e-01 3.036900000000000155e+00 8.779219999999999402e+01 1.570809999999999945e+03 5.609330000000000149e-01 4.232409999999999783e-01 4.274009999999999643e+00 9.735929999999999751e+00
2.805430000000000135e+01 9.835519999999999641e+01 5.165429999999999922e+01 5.811460000000000292e+00 5.953479999999999883e-01 3.035909999999999886e+00 9.432439999999999714e+01 1.484359999999999900e+03 8.397580000000000044e-01 2.875469999999999970e-01 4.285040000000000404e+00 9.914149999999999352e+00
4.361500000000000199e+01 9.908700000000000330e+01 5.164939999999999998e+01 2.704320000000000057e+00 5.962889999999999580e-01 3.070500000000000007e+00 8.675350000000000250e+01 1.251599999999999909e+03 4.868319999999999759e+00 3.684749999999999970e-01 3.887700000000000156e+00 1.043880000000000052e+01
2.417999999999999972e+01 9.991589999999999350e+01 5.163980000000000103e+01 3.694409999999999972e+00 6.016350000000000309e-01 3.007120000000000015e+00 9.828220000000000312e+01 1.657220000000000027e+03 3.480189999999999895e+00 3.474409999999999998e-01 4.262599999999999945e+00 9.260870000000000601e+00
3.777490000000000236e+01 9.953060000000000684e+01 5.159740000000000038e+01 3.489240000000000119e+00 5.949229999999999796e-01 3.003049999999999997e+00 9.102599999999999625e+01 1.428990000000000009e+03 6.638770000000000504e-01 3.706769999999999787e-01 4.129010000000000069e+00 9.638650000000000162e+00
1.947700000000000031e+01 9.973050000000000637e+01 5.164979999999999905e+01 5.206240000000000201e+00 6.097200000000000397e-01 3.006800000000000139e+00 9.679800000000000182e+01 1.995819999999999936e+03 4.392830000000000013e+00 4.164559999999999929e-01 4.514899999999999913e+00 9.738030000000000186e+00
2.088370000000000104e+01 9.960049999999999670e+01 5.162969999999999970e+01 2.240520000000000067e+00 5.966609999999999969e-01 3.085649999999999782e+00 9.670489999999999498e+01 1.639450000000000045e+03 2.952630000000000088e+00 2.626729999999999898e-01 4.538940000000000197e+00 9.867929999999999424e+00
2.548369999999999891e+01 9.920699999999999363e+01 5.162899999999999778e+01 4.424640000000000128e+00 6.142279999999999962e-01 3.044610000000000039e+00 9.376189999999999714e+01 1.639009999999999991e+03 6.371970000000000134e-01 3.451310000000000211e-01 4.228889999999999816e+00 9.884840000000000515e+00
2.919020000000000081e+01 9.892260000000000275e+01 5.162369999999999948e+01 4.942940000000000111e+00 6.015209999999999724e-01 3.010699999999999932e+00 9.639929999999999666e+01 1.530859999999999900e+03 2.267689999999999984e+00 3.287490000000000134e-01 4.117239999999999789e+00 9.226559999999999206e+00
2.287020000000000053e+01 9.991299999999999670e+01 5.166460000000000008e+01 2.425190000000000179e+00 6.058569999999999789e-01 3.005609999999999893e+00 9.798340000000000316e+01 2.035599999999999909e+03 4.587830000000000297e+00 4.568619999999999903e-01 4.380119999999999791e+00 1.195979999999999954e+01
3.748409999999999798e+01 9.890709999999999980e+01 5.163719999999999999e+01 1.191240000000000077e+00 5.773310000000000386e-01 3.114910000000000068e+00 9.822899999999999920e+01 1.296359999999999900e+03 3.084090000000000220e+00 2.675460000000000060e-01 3.748619999999999841e+00 9.524810000000000443e+00
2.847090000000000032e+01 9.999269999999999925e+01 5.164430000000000121e+01 4.785050000000000026e+00 6.066599999999999770e-01 3.035390000000000033e+00 9.539419999999999789e+01 1.596970000000000027e+03 4.385250000000000092e+00 3.570650000000000213e-01 4.207349999999999923e+00 9.257189999999999586e+00
