2453342.8969	-47.28	3.84	0
2453347.0019	-41.26	2.58	0
2453355.833	-34.26	2.89	0
2453357.8444	-35.63	2.91	0
2453359.8504	-28.42	4.95	0
2453360.9748	-37.04	3.19	0
2453364.9763	-41.36	3.23	0
2453365.8259	-40.73	2.89	0
2453367.8213	-64.14	2.93	0
2453383.9213	-64.01	3.37	0
2453390.7526	-27.69	2.82	0
2453448.7387	33.62	1.59	0
2453451.7306	27.48	2.41	0
2453476.65	-118.87	2.57	0
2453480.6372	-127.55	5.68	0
2453481.6318	-82.68	2.08	0
2453482.6317	-57.03	2.13	0
2453664.9959	141.47	1.96	0
2453675.9704	127.44	2.24	0
2453676.9844	123.13	3.69	0
2453682.9515	20.69	2.78	0
2453687.9321	15.18	2.5	0
2453689.9285	61.28	2.54	0
2453691.9156	92.73	2.98	0
2453697.9126	123.87	2.03	0
2453703.8858	147.52	4.6	0
2453708.8817	146.26	3.24	0
2453710.8789	150.7	2.58	0
2453718.0141	136.36	4.98	0
2453724.8303	129.03	3.12	0
2453728.8252	121.82	2.94	0
2453731.9672	83.91	3.86	0
2453733.802	39.79	3.2	0
2453734.8087	-3.84	2.64	0
2453736.9455	-86.32	3.54	0
2453741.7833	60.98	2.69	0
2453742.783	73.14	2.33	0
2453743.7904	83.45	2.72	0
2453748.7726	128.14	3.04	0
2453751.7677	139.71	3	0
2453753.7634	150.89	2.61	0
2453754.7496	141.44	2.43	0
2453756.7485	141.78	3.11	0
2453764.7353	140.77	2.69	0
2453832.6754	100.92	2.17	0
2453833.6962	94.87	2.55	0
2453834.6755	85.38	1.92	0
2453835.6671	63.55	2.01	0
2453838.6638	-35.39	1.96	0
2453841.6443	-46.03	4.92	0
2453845.6318	72.93	2.72	0
2453846.6533	77.92	2.69	0
2454029.9895	134.42	2.58	0
2454035.991	116.77	3.07	0
2454038.9782	102.21	1.65	0
2454039.9707	102.13	2.46	0
2454040.959	79.2	2.02	0
2454043.9637	11.48	1.25	0
2454044.9538	-18.63	1.81	0
2454045.9556	-72.29	2.05	0
2454050.9539	42.33	2.3	0
2454051.9467	52.82	2.67	0
2454052.9393	67.8	1.72	0
2454073.8806	125.65	1.92	0
2454079.8634	130.08	2.64	0
2454087.8437	95.94	1.78	0
2454106.7835	63.79	2.55	0
2454109.7887	93.54	2.53	0
2454110.7994	106.19	2.29	0
2454129.8706	105.98	2.14	0
2454130.7409	103.57	2.36	0
2454133.847	88.55	2.69	0
2454134.7264	92.38	2.58	0
2454135.8673	103.2	2.85	0
2454136.8409	90.93	3.26	0
2454148.6771	-81.12	3.41	0
2454156.6604	48.73	3.71	0
2454159.7804	66.51	2.32	0
2454166.7627	89.64	2.1	0
2454167.7585	85.27	2	0
2454211.6299	67.62	2.47	0
2454231.6001	104.84	1.78	0
