#  gamma_0, gamma_1, gamma_2, gamma_3, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, sigma_1, sigma_2, sigma_3, 
# 
-5.143959999999999866e+01 1.018679999999999986e+01 3.810630000000000109e+03 3.818619999999999891e+03 9.939849999999999852e+01 2.498550000000000182e+03 2.738829999999999876e-01 4.561970000000000192e-01 4.635729999999999684e+00 9.987380000000000280e+01 5.164350000000000307e+01 8.073210000000000108e-02 6.216840000000000144e-01 3.038240000000000052e+00 4.238929999999999865e+00 9.327120000000000744e+00 1.740520000000000067e+01 1.219589999999999996e+01
-4.808149999999999835e+01 1.053359999999999985e+01 3.815659999999999854e+03 3.816670000000000073e+03 9.926470000000000482e+01 2.469619999999999891e+03 3.370449999999999946e+00 4.524850000000000261e-01 4.638519999999999754e+00 9.965739999999999554e+01 5.164099999999999824e+01 4.708440000000000403e+00 6.007240000000000357e-01 3.007779999999999898e+00 4.214419999999999611e+00 1.077369999999999983e+01 1.415809999999999924e+01 9.468260000000000787e+00
-5.200399999999999778e+01 7.489729999999999777e+00 3.815650000000000091e+03 3.818469999999999800e+03 9.934770000000000323e+01 5.164000000000000057e+01 5.199799999999999756e+00 5.994810000000000416e-01 3.053589999999999804e+00 9.928050000000000352e+01 2.440809999999999945e+03 5.021889999999999965e+00 4.214430000000000121e-01 4.770920000000000272e+00 1.063049999999999967e-01 1.047419999999999973e+01 1.304790000000000028e+01 1.308469999999999978e+01
-5.261840000000000117e+01 4.033120000000000260e+00 3.811119999999999891e+03 3.818469999999999800e+03 9.988700000000000045e+01 2.465300000000000182e+03 4.977890000000000370e+00 4.280019999999999936e-01 4.735540000000000305e+00 9.993989999999999441e+01 5.164710000000000178e+01 1.876609999999999889e+00 6.096700000000000452e-01 3.044329999999999981e+00 2.583879999999999857e-02 1.035009999999999941e+01 1.352059999999999995e+01 1.153059999999999974e+01
-5.026380000000000337e+01 6.937520000000000131e+00 3.813510000000000218e+03 3.818099999999999909e+03 9.906459999999999866e+01 2.438969999999999800e+03 3.242309999999999914e-01 4.435899999999999843e-01 4.695319999999999716e+00 9.909380000000000166e+01 5.164359999999999928e+01 4.091739999999999822e-01 6.021870000000000278e-01 3.047190000000000065e+00 4.709639999999999660e-02 1.056460000000000043e+01 1.273179999999999978e+01 1.119570000000000043e+01
-5.154279999999999973e+01 6.294669999999999987e+00 3.815309999999999945e+03 3.816800000000000182e+03 9.953350000000000364e+01 5.163669999999999760e+01 5.021519999999999762e+00 6.056700000000000417e-01 3.025119999999999809e+00 9.998099999999999454e+01 2.450739999999999782e+03 5.514770000000000394e+00 4.232929999999999748e-01 4.732639999999999958e+00 5.152339999999999698e+00 9.082860000000000156e+00 1.180300000000000082e+01 1.334200000000000053e+01
-5.236249999999999716e+01 5.563640000000000363e+00 3.814340000000000146e+03 3.821340000000000146e+03 9.956719999999999970e+01 2.436199999999999818e+03 5.671879999999999811e+00 4.323110000000000008e-01 4.729519999999999946e+00 9.976690000000000680e+01 5.164050000000000296e+01 1.822840000000000016e+00 6.027759999999999785e-01 3.045630000000000059e+00 7.140299999999999869e+00 7.977949999999999875e+00 8.641629999999999256e+00 1.310820000000000007e+01
-5.261840000000000117e+01 4.033120000000000260e+00 3.811119999999999891e+03 3.818469999999999800e+03 9.988700000000000045e+01 2.465300000000000182e+03 4.977890000000000370e+00 4.280019999999999936e-01 4.735540000000000305e+00 9.993989999999999441e+01 5.164710000000000178e+01 1.876609999999999889e+00 6.096700000000000452e-01 3.044329999999999981e+00 2.583879999999999857e-02 1.035009999999999941e+01 1.352059999999999995e+01 1.153059999999999974e+01
-5.023250000000000171e+01 5.451050000000000395e+00 3.813429999999999836e+03 3.817679999999999836e+03 9.985899999999999466e+01 2.465329999999999927e+03 5.056300000000000239e+00 4.447769999999999779e-01 4.701539999999999608e+00 9.938920000000000243e+01 5.164710000000000178e+01 1.884640000000000093e+00 5.961570000000000480e-01 3.019099999999999895e+00 5.041149999999999798e-02 9.508210000000000051e+00 1.234880000000000067e+01 9.467499999999999361e+00
-5.184839999999999804e+01 7.424229999999999663e+00 3.814349999999999909e+03 3.819739999999999782e+03 9.984659999999999513e+01 5.164520000000000266e+01 3.861450000000000049e+00 6.016580000000000261e-01 3.046050000000000146e+00 9.996030000000000371e+01 2.467070000000000164e+03 3.189839999999999787e+00 4.257440000000000113e-01 4.704159999999999897e+00 3.750370000000000203e+00 8.983599999999999142e+00 8.161390000000000811e+00 1.124300000000000033e+01
-5.612080000000000268e+01 4.016630000000000145e+00 3.810889999999999873e+03 3.820030000000000200e+03 9.987720000000000198e+01 5.164209999999999923e+01 4.304529999999999745e+00 6.035150000000000237e-01 3.042359999999999953e+00 9.883069999999999311e+01 2.487150000000000091e+03 3.329099999999999948e+00 4.277210000000000178e-01 4.774790000000000312e+00 7.194390000000000285e+00 9.646539999999999893e+00 1.244110000000000049e+01 7.747139999999999915e+00
-5.119639999999999702e+01 5.862129999999999619e+00 3.807599999999999909e+03 3.814659999999999854e+03 9.995369999999999777e+01 5.163989999999999725e+01 4.150079999999999991e+00 6.090980000000000283e-01 3.048470000000000013e+00 9.965160000000000196e+01 2.432820000000000164e+03 3.206030000000000157e+00 4.402860000000000107e-01 4.677120000000000388e+00 4.408050000000000246e+00 9.887729999999999464e+00 1.358019999999999960e+01 1.190349999999999930e+01
-5.323069999999999879e+01 6.845399999999999707e+00 3.813840000000000146e+03 3.818460000000000036e+03 9.985259999999999536e+01 2.439019999999999982e+03 4.183640000000000136e-01 4.147250000000000103e-01 4.759890000000000398e+00 9.968019999999999925e+01 5.164359999999999928e+01 4.408130000000000104e-01 6.062849999999999628e-01 3.011299999999999866e+00 6.184319999999999817e-01 1.001720000000000077e+01 1.086739999999999995e+01 1.074629999999999974e+01
-4.871130000000000138e+01 8.478070000000000661e+00 3.809980000000000018e+03 3.820489999999999782e+03 9.935999999999999943e+01 5.163569999999999993e+01 5.217620000000000147e+00 5.989539999999999864e-01 3.073409999999999975e+00 9.993000000000000682e+01 2.431190000000000055e+03 5.246310000000000251e+00 4.538189999999999724e-01 4.653990000000000293e+00 3.342950000000000088e+00 1.046020000000000039e+01 1.746199999999999974e+01 1.271090000000000053e+01
-5.243039999999999878e+01 6.959810000000000052e+00 3.813519999999999982e+03 3.819500000000000000e+03 9.998300000000000409e+01 2.441480000000000018e+03 4.847369999999999735e-01 4.336059999999999914e-01 4.758779999999999788e+00 9.960219999999999629e+01 5.164350000000000307e+01 3.790959999999999885e-01 5.999609999999999665e-01 3.075919999999999987e+00 8.356709999999999638e+00 1.029609999999999914e+01 1.324680000000000035e+01 9.718260000000000787e+00
