#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
5.352279999999999660e+01 6.935949999999999704e+01 9.857050000000000409e+02 2.971960000000000157e-01 1.660000000000000087e-01 3.016469999999999985e+00 5.696289999999999765e+01
4.833740000000000236e+01 8.451380000000000337e+01 5.084270000000000209e+02 3.624899999999999789e+00 3.235219999999999763e-01 2.500239999999999796e+00 5.973389999999999844e+01
3.981419999999999959e+01 9.480400000000000205e+01 9.444769999999999754e+02 2.332489999999999952e+00 4.390160000000000173e-01 3.060039999999999871e+00 5.727689999999999770e+01
5.331869999999999976e+01 6.877129999999999654e+01 9.939489999999999554e+02 4.088049999999999962e+00 3.126099999999999990e-01 3.260590000000000099e+00 5.258769999999999811e+01
4.369809999999999661e+01 6.451890000000000214e+01 9.613609999999999900e+02 5.962419999999999831e+00 2.243920000000000081e-01 3.318249999999999922e+00 6.005740000000000123e+01
3.387599999999999767e+01 6.856619999999999493e+01 4.949789999999999850e+02 3.260930000000000106e+00 9.450079999999999592e-02 2.035950000000000149e+00 6.900939999999999941e+01
4.056810000000000116e+01 8.467879999999999541e+01 9.913949999999999818e+02 9.347569999999999490e-01 4.545480000000000076e-01 3.727700000000000014e+00 5.831400000000000006e+01
4.382370000000000232e+01 6.475289999999999679e+01 5.093740000000000236e+02 1.762780000000000014e+00 4.127770000000000050e-01 4.317800000000000082e+00 6.030100000000000193e+01
3.384660000000000224e+01 8.095489999999999498e+01 5.293519999999999754e+02 1.202660000000000062e+00 4.620059999999999722e-01 3.655650000000000066e+00 6.609629999999999939e+01
4.770360000000000156e+01 8.465789999999999793e+01 9.610190000000000055e+02 5.889109999999999623e+00 5.480319999999999636e-01 3.898950000000000138e+00 5.643180000000000263e+01
4.413329999999999842e+01 9.504579999999999984e+01 9.768559999999999945e+02 2.332479999999999887e+00 4.032410000000000161e-01 3.548919999999999852e+00 5.814730000000000132e+01
5.003289999999999793e+01 8.484810000000000230e+01 9.862400000000000091e+02 1.511759999999999993e+00 4.365999999999999881e-01 4.350179999999999936e+00 5.617219999999999658e+01
3.981419999999999959e+01 9.480400000000000205e+01 9.444769999999999754e+02 2.332489999999999952e+00 4.390160000000000173e-01 3.060039999999999871e+00 5.727689999999999770e+01
2.965549999999999997e+01 9.228050000000000352e+01 9.706749999999999545e+02 2.138819999999999943e+00 5.810060000000000224e-01 4.021639999999999660e+00 4.928240000000000265e+01
5.920409999999999684e+01 7.581699999999999307e+01 9.731109999999999900e+02 4.748990000000000045e+00 4.504560000000000231e-01 3.631839999999999957e+00 5.113419999999999987e+01
5.272950000000000159e+01 8.555790000000000362e+01 9.334450000000000500e+02 4.236629999999999896e+00 5.235910000000000286e-01 3.143489999999999895e+00 5.565240000000000009e+01
4.833740000000000236e+01 8.451380000000000337e+01 5.084270000000000209e+02 3.624899999999999789e+00 3.235219999999999763e-01 2.500239999999999796e+00 5.973389999999999844e+01
4.701939999999999742e+01 7.540640000000000498e+01 9.992730000000000246e+02 4.505499999999999616e+00 3.979420000000000179e-01 3.886099999999999888e+00 5.543410000000000082e+01
5.332289999999999708e+01 8.872440000000000282e+01 9.860099999999999909e+02 4.293000000000000149e+00 5.903279999999999639e-01 4.230789999999999829e+00 6.185860000000000269e+01
4.551250000000000284e+01 9.302209999999999468e+01 4.961399999999999864e+02 6.183849999999999625e+00 3.489240000000000119e-01 3.278859999999999886e+00 5.658879999999999910e+01
5.956770000000000209e+01 9.383100000000000307e+01 9.220280000000000200e+02 1.069480000000000014e-01 8.020270000000000454e-01 4.524239999999999817e+00 5.883579999999999899e+01
4.239150000000000063e+01 9.836459999999999582e+01 9.576920000000000073e+02 5.553759999999999808e-01 6.693280000000000340e-01 4.030680000000000263e+00 5.610040000000000049e+01
