#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
-2.474609999999999843e+01 8.296080000000000609e+01 1.912510000000000048e+02 3.629490000000000105e+00 2.320000000000000118e-01 1.286659999999999915e+00 2.241469999999999985e+01
-2.956749999999999989e+00 9.130610000000000070e+01 1.867520000000000095e+02 9.040019999999999722e-01 3.962899999999999756e-01 3.472049999999999859e+00 1.357729999999999926e+01
-1.267549999999999955e+01 9.293600000000000705e+01 1.895860000000000127e+02 1.658940000000000081e+00 2.389280000000000015e-01 3.260920000000000041e+00 7.086040000000000116e-01
-4.026180000000000092e+00 8.958549999999999613e+01 1.865480000000000018e+02 1.148190000000000044e+00 2.410569999999999935e-01 3.142549999999999955e+00 2.291479999999999961e+00
-4.257260000000000133e+01 9.872039999999999793e+01 3.744320000000000164e+02 1.453179999999999916e+00 3.027799999999999936e-01 1.067399999999999904e+00 9.145609999999999573e+00
-6.409099999999999397e+01 9.570740000000000691e+01 3.880830000000000268e+02 2.411300000000000221e+00 3.096289999999999876e-01 6.088770000000000016e-01 9.534879999999999356e+00
8.525500000000000300e-01 9.632550000000000523e+01 1.868079999999999927e+02 1.169340000000000046e+00 3.489929999999999977e-01 3.257190000000000030e+00 1.442040000000000077e+01
-1.046599999999999930e+01 9.658620000000000516e+01 1.884770000000000039e+02 1.524520000000000097e+00 3.057710000000000150e-01 3.180190000000000072e+00 8.116669999999999163e+00
-3.311269999999999936e+00 9.942520000000000380e+01 1.883959999999999866e+02 1.286529999999999951e+00 2.886520000000000197e-01 3.393429999999999946e+00 9.419790000000000774e+00
-5.113130000000000308e+01 9.643460000000000321e+01 3.794479999999999791e+02 1.705230000000000024e+00 3.230410000000000226e-01 1.081110000000000015e+00 1.202619999999999933e+01
-3.330449999999999733e+01 9.169670000000000698e+01 3.727069999999999936e+02 1.067839999999999900e+00 3.821120000000000072e-01 1.566070000000000073e+00 1.037550000000000061e+01
-5.824119999999999919e+01 9.422539999999999338e+01 3.777490000000000236e+02 1.599399999999999933e+00 3.430469999999999908e-01 9.924840000000000328e-01 1.114250000000000007e+01
-6.611620000000000275e+00 8.902370000000000516e+01 1.891140000000000043e+02 1.417759999999999909e+00 2.348669999999999924e-01 3.337959999999999816e+00 1.093570000000000064e+01
-5.624329999999999785e+01 9.691649999999999920e+01 3.865849999999999795e+02 2.444679999999999964e+00 3.759739999999999749e-01 5.237579999999999458e-01 1.225750000000000028e+01
-3.508800000000000097e+01 8.918770000000000664e+01 3.822420000000000186e+02 1.655589999999999895e+00 2.875539999999999763e-01 1.530839999999999979e+00 9.325340000000000629e+00
-4.346609999999999729e+01 9.852670000000000528e+01 3.769879999999999995e+02 1.580209999999999892e+00 3.113969999999999794e-01 1.143699999999999939e+00 8.111480000000000246e+00
-8.110839999999999606e+00 9.921160000000000423e+01 1.894780000000000086e+02 1.427359999999999962e+00 4.053640000000000021e-01 3.610790000000000166e+00 1.422789999999999999e+01
-3.330449999999999733e+01 9.169670000000000698e+01 3.727069999999999936e+02 1.067839999999999900e+00 3.821120000000000072e-01 1.566070000000000073e+00 1.037550000000000061e+01
-5.891079999999999650e+00 9.400539999999999452e+01 1.886479999999999961e+02 1.767379999999999951e+00 2.198549999999999949e-01 2.928770000000000095e+00 6.600399999999999323e-02
-4.623839999999999861e+01 9.848770000000000380e+01 3.855289999999999964e+02 2.271409999999999929e+00 2.923760000000000248e-01 7.662729999999999819e-01 1.369089999999999918e+01
-1.302350000000000030e+01 9.107150000000000034e+01 1.917479999999999905e+02 1.645499999999999963e+00 2.372209999999999874e-01 3.650119999999999809e+00 1.158600000000000030e+01
-4.620620000000000260e+01 9.915529999999999688e+01 3.745000000000000000e+02 1.340000000000000080e+00 3.087509999999999977e-01 1.286429999999999962e+00 9.572530000000000427e+00
-5.916610000000000014e+01 9.944329999999999359e+01 3.854239999999999782e+02 2.058310000000000084e+00 3.221200000000000174e-01 9.685279999999999445e-01 1.070880000000000010e+01
-1.905089999999999861e+01 9.993680000000000518e+01 1.919960000000000093e+02 1.779670000000000085e+00 2.460170000000000134e-01 3.612740000000000062e+00 1.084890000000000043e+01
7.396379999999999733e+00 9.189480000000000359e+01 1.859720000000000084e+02 8.613469999999999738e-01 4.705500000000000238e-01 3.357520000000000060e+00 1.888860000000000028e+01
-1.302350000000000030e+01 9.107150000000000034e+01 1.917479999999999905e+02 1.645499999999999963e+00 2.372209999999999874e-01 3.650119999999999809e+00 1.158600000000000030e+01
-9.191539999999999822e+00 9.281719999999999970e+01 1.916850000000000023e+02 1.491430000000000033e+00 2.179300000000000126e-01 3.915150000000000130e+00 1.198729999999999940e+01
-5.831199999999999761e+01 9.846880000000000166e+01 3.768860000000000241e+02 1.492329999999999934e+00 2.976480000000000237e-01 1.092300000000000049e+00 9.034929999999999239e+00
-2.864900000000000091e+01 9.416570000000000107e+01 3.704920000000000186e+02 8.433589999999999698e-01 4.065590000000000037e-01 1.692890000000000006e+00 2.786509999999999820e-01
-6.409099999999999397e+01 9.570740000000000691e+01 3.880830000000000268e+02 2.411300000000000221e+00 3.096289999999999876e-01 6.088770000000000016e-01 9.534879999999999356e+00
-4.823360000000000092e+00 9.368359999999999843e+01 1.904989999999999952e+02 1.689489999999999936e+00 2.408279999999999865e-01 3.403669999999999973e+00 8.826610000000000511e+00
-4.257260000000000133e+01 9.872039999999999793e+01 3.744320000000000164e+02 1.453179999999999916e+00 3.027799999999999936e-01 1.067399999999999904e+00 9.145609999999999573e+00
-1.897149999999999892e+01 8.759770000000000323e+01 1.902500000000000000e+02 4.345320000000000071e+00 5.585829999999999962e-02 5.301099999999999701e-01 2.011830000000000140e+01
-5.592439999999999856e+01 9.602070000000000505e+01 3.810830000000000268e+02 1.900749999999999940e+00 2.876589999999999980e-01 8.747369999999999868e-01 5.947019999999999529e-01
-5.004090000000000060e+01 9.340109999999999957e+01 3.854230000000000018e+02 2.150290000000000035e+00 3.319699999999999873e-01 9.407780000000000031e-01 1.065399999999999991e+01
-1.295449999999999946e+01 9.341219999999999857e+01 1.888950000000000102e+02 1.384619999999999962e+00 3.002199999999999869e-01 3.491099999999999870e+00 1.446819999999999951e+01
-1.818509999999999849e+01 9.059170000000000300e+01 1.921380000000000052e+02 4.075109999999999566e+00 8.466279999999999639e-02 1.198890000000000011e+00 1.687849999999999895e+01
-9.018119999999999692e+00 9.200920000000000698e+01 1.886179999999999950e+02 1.511200000000000099e+00 2.788869999999999960e-01 3.178350000000000009e+00 3.057199999999999848e-02
-5.757530000000000037e+00 8.738720000000000709e+01 1.857450000000000045e+02 7.497800000000000020e-01 2.780369999999999786e-01 3.470790000000000042e+00 7.993750000000000355e+00
-1.818509999999999849e+01 9.059170000000000300e+01 1.921380000000000052e+02 4.075109999999999566e+00 8.466279999999999639e-02 1.198890000000000011e+00 1.687849999999999895e+01
-1.304739999999999966e+01 9.957429999999999382e+01 1.918710000000000093e+02 2.085249999999999826e+00 2.459469999999999990e-01 3.309810000000000141e+00 1.417859999999999943e+01
-4.786749999999999616e+00 9.902259999999999707e+01 1.897630000000000052e+02 1.715789999999999926e+00 2.846989999999999799e-01 3.338900000000000201e+00 1.219860000000000078e+01
-1.439029999999999987e+01 9.855920000000000414e+01 1.890850000000000080e+02 1.598410000000000108e+00 2.769900000000000140e-01 3.258630000000000138e+00 6.210499999999999687e+00
-2.322799999999999976e+00 8.436629999999999541e+01 1.890420000000000016e+02 1.802969999999999962e+00 2.686450000000000227e-01 3.066949999999999843e+00 1.840390000000000015e+01
-6.165119999999999933e+00 8.867279999999999518e+01 1.872669999999999959e+02 1.302400000000000002e+00 2.874669999999999725e-01 3.221859999999999946e+00 7.014400000000000190e+00
-2.708249999999999957e+01 8.641660000000000252e+01 1.923899999999999864e+02 1.457829999999999959e+00 1.700979999999999853e-02 3.664550000000000196e+00 1.483600000000000030e+01
-1.294609999999999950e+01 8.336759999999999593e+01 1.879859999999999900e+02 1.170570000000000110e+00 3.367280000000000273e-01 3.409190000000000165e+00 2.085150000000000148e+01
-4.692170000000000130e+01 9.232899999999999352e+01 3.866560000000000059e+02 2.241620000000000168e+00 3.438200000000000145e-01 9.489579999999999682e-01 1.497530000000000072e+01
-4.620620000000000260e+01 9.915529999999999688e+01 3.745000000000000000e+02 1.340000000000000080e+00 3.087509999999999977e-01 1.286429999999999962e+00 9.572530000000000427e+00
2.530510000000000259e-01 9.967149999999999466e+01 1.873629999999999995e+02 1.022629999999999928e+00 3.454809999999999826e-01 3.526969999999999938e+00 1.265390000000000015e+01
-4.620620000000000260e+01 9.915529999999999688e+01 3.745000000000000000e+02 1.340000000000000080e+00 3.087509999999999977e-01 1.286429999999999962e+00 9.572530000000000427e+00
