#  gamma_0, gamma_1, gamma_2, gamma_3, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, sigma_1, sigma_2, sigma_3, 
# 
-4.844030000000000058e+01 1.000220000000000020e+01 3.813559999999999945e+03 3.814780000000000200e+03 9.999819999999999709e+01 5.164309999999999690e+01 3.933819999999999872e+00 6.007569999999999855e-01 3.040420000000000122e+00 9.975159999999999627e+01 2.433789999999999964e+03 5.753409999999999691e+00 4.486249999999999960e-01 4.616329999999999600e+00 4.824679999999999858e+00 9.640309999999999491e+00 1.914720000000000155e+01 9.189310000000000755e+00
-5.002839999999999776e+01 8.445850000000000080e+00 3.813710000000000036e+03 3.817780000000000200e+03 9.943659999999999854e+01 2.467559999999999945e+03 4.464750000000000441e+00 4.443759999999999932e-01 4.645850000000000257e+00 9.969729999999999848e+01 5.164719999999999800e+01 2.474520000000000053e+00 6.100980000000000292e-01 3.006759999999999877e+00 8.061630000000000185e-02 9.460699999999999221e+00 2.064160000000000039e+01 1.136500000000000021e+01
-5.045580000000000354e+01 9.557550000000000878e+00 3.814280000000000200e+03 3.816809999999999945e+03 9.898820000000000618e+01 5.164710000000000178e+01 1.910860000000000003e+00 6.038280000000000314e-01 3.036200000000000010e+00 9.845640000000000214e+01 2.448599999999999909e+03 5.388199999999999934e-02 4.272270000000000234e-01 4.682929999999999815e+00 4.033540000000000347e+00 1.112279999999999980e+01 1.783500000000000085e+01 1.619500000000000028e+01
-5.389770000000000039e+01 4.335589999999999833e+00 3.814119999999999891e+03 3.817650000000000091e+03 9.958069999999999311e+01 2.433659999999999854e+03 5.367939999999999934e+00 4.226360000000000117e-01 4.744720000000000049e+00 9.985829999999999984e+01 5.164470000000000027e+01 5.443940000000000445e-01 6.068949999999999623e-01 3.041980000000000128e+00 7.179859999999999687e+00 9.249079999999999302e+00 1.467379999999999995e+01 1.222719999999999985e+01
-4.835340000000000060e+01 1.096110000000000007e+01 3.811750000000000000e+03 3.819139999999999873e+03 9.882150000000000034e+01 2.460449999999999818e+03 5.256210000000000271e+00 4.576890000000000125e-01 4.640439999999999898e+00 9.994570000000000221e+01 5.163479999999999848e+01 6.110940000000000261e+00 6.081410000000000426e-01 3.012809999999999988e+00 2.739529999999999799e+00 1.140540000000000020e+01 1.810820000000000007e+01 8.293720000000000425e+00
-5.159810000000000230e+01 6.902929999999999566e+00 3.814900000000000091e+03 3.821679999999999836e+03 9.993300000000000693e+01 5.164710000000000178e+01 1.874270000000000103e+00 6.070769999999999778e-01 3.047509999999999941e+00 9.990879999999999939e+01 2.458409999999999854e+03 1.812570000000000153e-02 4.451849999999999974e-01 4.735949999999999882e+00 8.664349999999999552e-01 1.044790000000000063e+01 1.659140000000000015e+01 8.365610000000000213e+00
-5.049090000000000344e+01 7.647400000000000198e+00 3.811010000000000218e+03 3.817960000000000036e+03 9.997820000000000107e+01 5.164309999999999690e+01 4.002919999999999590e+00 6.145669999999999744e-01 3.037949999999999928e+00 9.982559999999999434e+01 2.465530000000000200e+03 5.588770000000000238e+00 4.396709999999999785e-01 4.693880000000000052e+00 1.007439999999999891e+00 9.795719999999999317e+00 1.114400000000000013e+01 8.788040000000000518e+00
-5.121179999999999666e+01 8.055630000000000734e+00 3.811710000000000036e+03 3.819929999999999836e+03 9.887340000000000373e+01 5.164629999999999654e+01 3.955929999999999946e+00 6.036390000000000366e-01 3.012109999999999843e+00 9.970980000000000132e+01 2.453309999999999945e+03 5.850480000000000125e+00 4.451080000000000036e-01 4.698649999999999771e+00 6.053200000000000358e+00 9.912340000000000373e+00 1.269100000000000072e+01 1.148889999999999922e+01
-5.181980000000000075e+01 6.496970000000000134e+00 3.808460000000000036e+03 3.817400000000000091e+03 9.971970000000000312e+01 2.467570000000000164e+03 4.449980000000000047e+00 4.408020000000000271e-01 4.687350000000000350e+00 9.964820000000000277e+01 5.164719999999999800e+01 2.469809999999999839e+00 6.053110000000000435e-01 3.077840000000000131e+00 3.827850000000000197e+00 1.013460000000000072e+01 1.565719999999999956e+01 8.701529999999999987e+00
-5.331790000000000163e+01 6.650009999999999977e+00 3.810920000000000073e+03 3.819849999999999909e+03 9.957599999999999341e+01 5.164419999999999789e+01 3.981310000000000127e+00 5.893359999999999710e-01 3.045580000000000176e+00 9.973770000000000380e+01 2.453280000000000200e+03 5.731469999999999843e+00 4.148020000000000040e-01 4.771259999999999835e+00 5.208459999999999646e+00 1.066910000000000025e+01 9.827680000000000859e+00 1.407699999999999996e+01
