#  gamma_0, gamma_1, gamma_2, gamma_3, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, sigma_1, sigma_2, sigma_3, 
# 
-5.166669999999999874e+01 7.876360000000000028e+00 3.816550000000000182e+03 3.820980000000000018e+03 9.994480000000000075e+01 5.164159999999999684e+01 1.445109999999999895e+00 6.038419999999999899e-01 3.066860000000000142e+00 9.988830000000000098e+01 2.442769999999999982e+03 3.879830000000000112e+00 4.393150000000000110e-01 4.694709999999999717e+00 2.718710000000000182e+00 9.289609999999999701e+00 1.371739999999999959e+01 9.864340000000000330e+00
-5.173239999999999839e+01 7.052740000000000009e+00 3.817920000000000073e+03 3.814579999999999927e+03 9.964100000000000534e+01 2.432369999999999891e+03 2.033630000000000049e+00 4.411010000000000209e-01 4.664959999999999773e+00 9.997669999999999391e+01 5.164229999999999876e+01 5.955610000000000070e+00 6.128829999999999556e-01 3.037729999999999819e+00 3.907189999999999941e+00 8.512340000000000018e+00 1.191580000000000084e+01 1.136769999999999925e+01
-5.092190000000000083e+01 8.512439999999999785e+00 3.811250000000000000e+03 3.816130000000000109e+03 9.992709999999999582e+01 5.163900000000000290e+01 5.714319999999999844e+00 6.193030000000000479e-01 3.037850000000000161e+00 9.943129999999999313e+01 2.437900000000000091e+03 3.835109999999999797e+00 4.439089999999999980e-01 4.661389999999999922e+00 2.682990000000000208e+00 9.282840000000000202e+00 1.622510000000000119e+01 1.034399999999999942e+01
-5.228849999999999909e+01 6.614919999999999689e+00 3.812969999999999800e+03 3.821489999999999782e+03 9.952349999999999852e+01 2.470460000000000036e+03 5.486390000000000100e+00 4.505689999999999973e-01 4.699379999999999669e+00 9.990170000000000528e+01 5.163569999999999993e+01 5.438089999999999868e+00 6.002739999999999743e-01 3.044540000000000024e+00 5.582639999999999603e+00 9.655350000000000321e+00 1.941310000000000002e+01 1.131639999999999979e+01
-5.148060000000000258e+01 5.333750000000000213e+00 3.811110000000000127e+03 3.821480000000000018e+03 9.998820000000000618e+01 2.489280000000000200e+03 2.394429999999999836e+00 4.365620000000000056e-01 4.695579999999999643e+00 9.997299999999999898e+01 5.164330000000000354e+01 5.374970000000000248e+00 6.065690000000000248e-01 3.012919999999999821e+00 3.389349999999999863e+00 9.187469999999999359e+00 1.005189999999999984e+01 1.209650000000000070e+01
-5.260170000000000101e+01 6.193329999999999558e+00 3.818039999999999964e+03 3.821760000000000218e+03 9.910120000000000573e+01 2.468179999999999836e+03 5.976849999999999774e+00 4.355629999999999780e-01 4.726099999999999746e+00 9.971710000000000207e+01 5.164220000000000255e+01 5.389750000000000263e+00 6.080160000000000009e-01 3.076480000000000103e+00 5.262369999999999770e+00 9.936070000000000846e+00 1.102459999999999951e+01 9.930170000000000385e+00
-5.079630000000000223e+01 8.287969999999999615e+00 3.812210000000000036e+03 3.817929999999999836e+03 9.804800000000000182e+01 2.438059999999999945e+03 4.224980000000000402e+00 4.514099999999999779e-01 4.707530000000000214e+00 9.982049999999999557e+01 5.164180000000000348e+01 2.640219999999999789e+00 6.161419999999999675e-01 3.035070000000000157e+00 3.828019999999999978e+00 9.428549999999999542e+00 1.509479999999999933e+01 1.100220000000000020e+01
-4.975160000000000338e+01 7.104269999999999641e+00 3.807820000000000164e+03 3.816849999999999909e+03 9.935930000000000462e+01 5.163730000000000331e+01 1.726669999999999927e+00 6.138270000000000115e-01 3.020309999999999828e+00 9.985750000000000171e+01 2.487260000000000218e+03 3.699359999999999982e+00 4.494830000000000214e-01 4.629030000000000200e+00 9.003379999999999717e-01 1.081419999999999959e+01 1.358300000000000018e+01 1.208220000000000027e+01
-4.873780000000000001e+01 9.507130000000000081e+00 3.814130000000000109e+03 3.818480000000000018e+03 9.982689999999999486e+01 2.490599999999999909e+03 5.707559999999999967e+00 4.740480000000000249e-01 4.623289999999999900e+00 9.898499999999999943e+01 5.164009999999999678e+01 5.464780000000000193e+00 5.958400000000000363e-01 3.017310000000000159e+00 4.095680000000000154e-02 1.049859999999999971e+01 1.431479999999999997e+01 1.382380000000000031e+01
-5.230680000000000263e+01 6.126019999999999577e+00 3.809670000000000073e+03 3.819860000000000127e+03 9.992430000000000234e+01 5.164159999999999684e+01 1.463279999999999914e+00 6.089499999999999913e-01 3.051079999999999792e+00 9.972159999999999513e+01 2.462349999999999909e+03 3.743450000000000166e+00 4.446049999999999724e-01 4.767019999999999591e+00 4.710060000000000358e+00 1.078490000000000038e+01 1.343609999999999971e+01 5.402020000000000266e+00
