2454775.819119	32.55	2.2	0
2454776.75845	29.25	2.8	0
2454777.761675	26.15	2	0
2454778.754586	17.85	1.6	0
2454779.750679	19.45	2.2	0
2454780.754792	24.95	2.6	0
2454789.829872	32.25	1.6	0
2454790.802989	35.85	2.1	0
2454791.810991	43.45	1.9	0
2454792.809988	37.75	1.8	0
2454793.827734	29.95	1.8	0
2454794.800626	34.55	1.7	0
2454795.809029	27.95	2.2	0
2454796.836494	20.05	1.7	0
2454797.803411	23.15	1.7	0
2454798.806092	36.95	2.5	0
2454799.776987	37.05	1.9	0
2454799.864538	42.15	2.5	0
2454800.759086	32.45	2.1	0
2454800.846162	30.15	1.6	0
2454801.753036	27.65	1.5	0
2454801.839649	29.55	1.5	0
2454802.748385	29.85	2	0
2454802.843308	27.95	1.6	0
2454803.75261	25.95	1.8	0
2454803.834177	23.35	2	0
2454804.755468	22.65	2.5	0
2454804.834245	29.15	1.9	0
2454805.77747	41.45	2.1	0
2454805.850494	48.35	2.4	0
2454806.764734	48.85	1.8	0
2454806.844413	48.05	2.2	0
2454807.728119	38.15	1.8	0
2454807.826352	40.95	1.7	0
2454825.736813	36.05	1.3	0
2454826.739453	38.75	1.4	0
2454827.726165	46.25	1.4	0
2454828.73607	60.45	1.7	0
2454829.735395	50.15	2	0
2454830.724394	32.55	1.8	0
2454831.710289	23.25	6.6	0
2454831.728761	19.75	1.9	0
2454832.725234	30.95	3	0
2454833.73417	33.65	2.1	0
2454834.75395	44.75	1.5	0
2454847.596797	33.45	1.7	0
2454847.69389	35.25	1.8	0
2454847.756817	35.35	1.5	0
2454848.600709	29.05	1.5	0
2454848.682235	23.65	1.3	0
2454848.759062	20.25	1.6	0
2454849.594019	27.95	1.4	0
2454849.671887	23.05	1.5	0
2454849.749061	23.55	1.9	0
2454850.595162	31.35	1.8	0
2454850.664176	32.25	1.6	0
2454850.750354	35.15	1.4	0
2454851.592681	35.85	1.7	0
2454851.66644	37.05	1.8	0
2454851.747584	36.75	1.8	0
2454852.598578	33.65	1.8	0
2454852.673969	30.55	1.5	0
2454852.741247	36.25	1.6	0
2454853.573953	40.55	1.5	0
2454853.698128	44.85	1.5	0
2454853.746135	45.25	1.6	0
2454854.580252	50.65	1.7	0
2454854.657842	51.85	1.6	0
2454854.741682	44.55	1.9	0
2454855.675459	44.75	1.4	0
2454856.652751	38.65	1.3	0
2454857.646823	53.55	1.3	0
2454858.663463	57.45	1.9	0
2454859.649883	45.75	2.2	0
2454860.752152	35.15	6	0
2454861.684451	43.55	1.4	0
2454862.662718	34.25	2.1	0
2454863.655034	22.85	1.5	0
2454864.630186	19.15	5.6	0
2454865.597778	31.55	2.7	0
2454865.715909	27.35	2	0
2454866.660215	21.25	2.7	0
2454867.560377	7.75	2.2	0
2454867.670638	9.05	2.2	0
2454868.591829	11.95	2.4	0
2454868.687553	13.95	2.8	0
2454869.600213	29.25	1.6	0
2454869.688032	33.45	1.7	0
2454870.601258	31.25	1.6	0
2454870.715742	31.65	2.1	0
2454871.537976	36.75	1.5	0
2454872.564758	47.45	2.3	0
2454872.649638	42.45	1.7	0
2454872.727318	37.25	2.3	0
2454873.537549	39.45	2.2	0
2454873.650147	37.35	1.5	0
2454873.720073	34.65	2	0
2454879.536551	46.15	2	0
2454879.676148	43.45	2.2	0
2454880.613748	49.85	2.2	0
2454881.591054	48.25	1.7	0
2454882.525655	43.15	1.6	0
2454882.656016	47.85	1.6	0
2454883.588012	48.75	1.5	0
2454884.526256	42.95	1.6	0
2454884.646409	34.75	2	0
2455939.69948	24.76	2.33	0
2455939.76024	22.59	2.12	0
2455940.57499	27.28	2.51	0
2455940.68929	22.78	2.71	0
2455940.79456	28.6	2.15	0
2455941.5649	27.39	2.41	0
2455941.6687	32.77	1.84	0
2455941.77024	33.35	1.99	0
2455942.56139	20.76	2.63	0
2455942.67696	20.71	1.67	0
2455942.78412	21.5	2.47	0
2455943.5609	14.65	2.39	0
2455943.6657	12.79	1.99	0
2455943.76867	19.42	1.77	0
2455944.56671	21.35	2.13	0
2455944.66911	19.44	2.16	0
2455944.7737	24.11	1.85	0
2455945.56098	26.77	2.38	0
2455945.66736	24.98	2.13	0
2455945.77208	21.43	2.21	0
2455946.55742	19.11	2.22	0
2455946.66311	17.54	1.76	0
2455946.7684	20.12	2.09	0
2455947.54531	21.52	2.23	0
2455947.66174	25.29	1.79	0
2455947.76281	30.06	1.91	0
2455948.55706	33.46	2.17	0
2455948.66364	41.37	1.63	0
2455948.76718	41.21	1.75	0
2455949.55411	30.76	2.47	0
2455949.65555	35.21	1.87	0
2455949.75824	37.5	2.45	0
2455950.56227	20.46	1.68	0
2455950.66816	20.35	1.75	0
2455950.76859	15.41	1.77	0
2455951.54884	18.36	1.82	0
2455951.65576	16.68	2.07	0
2455951.75704	16.64	2.46	0
2455952.56523	24.08	2.04	0
2455952.77021	25.04	2.25	0
2455953.55597	18.4	1.82	0
2455953.68468	19.2	1.95	0
2455953.763	26.67	2.68	0
2455954.55404	22.35	1.81	0
2455954.63792	27.4	1.68	0
2455955.55847	33.07	1.89	0
2455955.63894	37.76	1.65	0
2455955.73279	39.21	1.79	0
2455956.62463	42.56	1.56	0
2455956.72897	36.36	1.92	0
2455957.64372	26.09	2.06	0
2455958.56684	25.36	1.92	0
2455958.6585	28.37	2.01	0
2455958.71729	28.19	2.01	0
2455959.55361	27.11	2.05	0
2455959.64103	32.62	2.01	0
2455959.72214	32.38	2.1	0
2455960.54986	34.38	1.8	0
2455960.64222	30.97	1.82	0
2455960.71808	27.72	2.02	0
2455961.57133	19.76	1.9	0
2455961.71143	18.73	1.77	0
2455962.54203	27.28	2.39	0
2455962.6334	30.51	2.09	0
2455962.72313	20.15	2.49	0
