#  gamma_0, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, 
# 
3.277519999999999811e+01 9.894790000000000418e+01 5.163210000000000122e+01 3.505700000000000038e+00 5.716299999999999715e-01 2.993799999999999795e+00 9.887839999999999918e+01 1.361509999999999991e+03 2.175229999999999941e-01 2.937620000000000231e-01 3.968440000000000190e+00 1.094640000000000057e+01
3.154899999999999949e+01 9.110450000000000159e+01 1.558130000000000109e+03 2.515200000000000102e+00 3.598330000000000140e-01 4.217069999999999652e+00 9.947690000000000055e+01 5.160040000000000049e+01 2.102120000000000211e+00 6.167460000000000164e-01 3.064239999999999853e+00 9.574120000000000630e+00
2.994310000000000116e+01 9.054359999999999786e+01 1.755769999999999982e+03 3.966899999999999871e+00 4.068930000000000047e-01 4.363900000000000112e+00 9.949420000000000641e+01 5.163920000000000243e+01 5.554639999999999578e-01 6.028139999999999610e-01 3.047449999999999992e+00 1.081530000000000058e+01
4.416850000000000165e+01 9.002710000000000434e+01 1.263619999999999891e+03 2.750230000000000175e+00 3.518220000000000236e-01 3.813810000000000144e+00 9.877450000000000330e+01 5.160150000000000148e+01 2.081900000000000084e+00 5.940600000000000325e-01 3.038980000000000015e+00 7.905840000000000423e+00
1.775860000000000127e+01 9.783780000000000143e+01 1.884970000000000027e+03 2.485160000000000036e+00 3.529550000000000187e-01 4.568450000000000344e+00 9.983740000000000236e+01 5.164000000000000057e+01 4.891479999999999606e+00 6.048149999999999915e-01 3.040070000000000050e+00 8.662240000000000606e+00
2.486550000000000082e+01 9.275639999999999930e+01 1.818559999999999945e+03 5.533570000000000100e+00 4.298310000000000186e-01 4.410870000000000068e+00 9.830790000000000362e+01 5.160609999999999786e+01 3.971499999999999808e+00 6.268529999999999935e-01 2.967439999999999856e+00 1.057520000000000060e+01
2.415090000000000003e+01 9.210899999999999466e+01 1.832210000000000036e+03 5.847699999999999676e+00 4.064539999999999820e-01 4.435360000000000191e+00 9.991479999999999961e+01 5.160609999999999786e+01 3.807129999999999903e+00 5.898630000000000262e-01 3.029910000000000103e+00 1.001679999999999993e+01
1.839069999999999894e+01 9.826749999999999829e+01 5.160679999999999978e+01 1.186830000000000052e+00 5.993159999999999599e-01 3.044529999999999959e+00 9.918540000000000134e+01 1.750240000000000009e+03 1.406479999999999952e+00 3.153500000000000192e-01 4.414030000000000342e+00 9.188200000000000145e+00
2.925969999999999871e+01 8.939990000000000236e+01 1.697319999999999936e+03 3.135269999999999779e+00 3.884020000000000250e-01 4.420020000000000060e+00 9.964360000000000639e+01 5.165409999999999968e+01 4.934050000000000047e+00 5.914629999999999610e-01 3.025139999999999940e+00 1.002800000000000047e+01
3.289569999999999794e+01 9.337000000000000455e+01 1.384079999999999927e+03 2.613150000000000084e+00 2.879760000000000097e-01 4.009290000000000020e+00 9.955629999999999313e+01 5.163409999999999656e+01 2.071680000000000188e+00 5.903610000000000246e-01 3.055499999999999883e+00 9.755470000000000752e+00
